"Department" "Pen" "Group" "Time" "Weight_change" "ID"
"36" "2" "2" 10 113 "56"
"36" "2" "2" 20 415 "56"
"36" "2" "2" 27 775 "56"
"36" "2" "2" 34 1268 "56"
"36" "2" "2" 3 46 "96"
"36" "2" "2" 10 127 "96"
"36" "2" "2" 20 406 "96"
"36" "2" "2" 27 712 "96"
"36" "2" "2" 34 1118 "96"
"36" "2" "2" 3 49 "136"
"36" "2" "2" 10 160 "136"
"36" "2" "2" 20 540 "136"
"36" "2" "2" 27 929 "136"
"36" "2" "2" 34 1375 "136"
"36" "3" "2" 3 52 "24"
"36" "3" "2" 10 164 "24"
"36" "3" "2" 20 539 "24"
"36" "3" "2" 27 964 "24"
"36" "3" "2" 34 1460 "24"
"36" "3" "2" 3 46 "64"
"36" "3" "2" 10 128 "64"
"36" "3" "2" 20 487 "64"
"36" "3" "2" 27 902 "64"
"36" "3" "2" 34 1409 "64"
"36" "3" "2" 3 44 "104"
"36" "3" "2" 10 121 "104"
"36" "3" "2" 20 416 "104"
"36" "3" "2" 27 828 "104"
"36" "3" "2" 34 1282 "104"
"36" "3" "2" 3 45 "144"
"36" "3" "2" 10 133 "144"
"36" "3" "2" 20 478 "144"
"36" "3" "2" 27 868 "144"
"36" "3" "2" 34 1391 "144"
"36" "3" "2" 3 44 "184"
"36" "3" "2" 10 143 "184"
"36" "3" "2" 20 479 "184"
"36" "3" "2" 27 935 "184"
"36" "3" "2" 34 1509 "184"
"36" "4" "2" 3 50 "32"
"36" "4" "2" 10 159 "32"
"36" "4" "2" 20 540 "32"
"36" "4" "2" 27 971 "32"
"36" "4" "2" 34 1497 "32"
"36" "4" "2" 3 37 "72"
"36" "4" "2" 10 89 "72"
